,density,burn_percentage,directions,ticks
580,59.0,33.629609617722544,4.0,455.0
581,59.0,68.61471861471861,4.0,841.0
582,59.0,29.49440474585412,4.0,361.0
583,59.0,16.89243887959415,4.0,221.0
584,59.0,25.154090526487277,4.0,392.0
585,59.0,35.59508478214209,4.0,455.0
586,59.0,28.53742968411943,4.0,472.0
587,59.0,33.81233013105137,4.0,448.0
588,59.0,23.07671550770393,4.0,242.0
589,59.0,21.013420833221268,4.0,252.0
590,60.0,48.873419066850886,4.0,434.0
591,60.0,66.77791021056814,4.0,480.0
592,60.0,74.20329816002969,4.0,601.0
593,60.0,71.68850657877107,4.0,775.0
594,60.0,44.50928381962865,4.0,548.0
595,60.0,68.83765405864854,4.0,623.0
596,60.0,74.57344655186097,4.0,592.0
597,60.0,61.65118513773222,4.0,642.0
598,60.0,10.5267341423348,4.0,145.0
599,60.0,68.84566326530613,4.0,709.0
600,61.0,82.40102371252482,4.0,547.0
601,61.0,83.95664664403239,4.0,539.0
602,61.0,69.1501594104427,4.0,556.0
603,61.0,82.06527415143603,4.0,518.0
604,61.0,81.01674609995572,4.0,705.0
605,61.0,86.4812789668281,4.0,483.0
606,61.0,83.88713424342879,4.0,502.0
607,61.0,80.12277951933125,4.0,513.0
608,61.0,68.29242847082757,4.0,515.0
609,61.0,78.80363426290636,4.0,570.0
610,62.0,86.60003083406136,4.0,504.0
