,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,wolves,sheep,grass,tick
295,62,62,12,25,5,5,72,49,63.0,191.0,543.0,50
296,62,62,12,25,5,5,72,49,185.0,144.0,521.0,100
297,62,62,12,25,5,5,72,49,130.0,80.0,930.0,150
298,62,62,12,25,5,5,72,50,49.0,180.0,597.0,50
299,62,62,12,25,5,5,72,50,138.0,244.0,297.0,100
300,62,62,12,25,5,5,72,50,213.0,32.0,1026.0,150
301,62,62,12,25,5,15,25,1,73.0,160.0,1225.0,50
302,62,62,12,25,5,15,25,1,364.0,37.0,1490.0,100
303,62,62,12,25,5,15,25,1,7.0,70.0,1858.0,150
304,62,62,12,25,5,15,25,2,68.0,179.0,1148.0,50
305,62,62,12,25,5,15,25,2,428.0,44.0,1476.0,100
306,62,62,12,25,5,15,25,2,1.0,97.0,1691.0,150
307,62,62,12,25,5,15,25,3,58.0,153.0,1264.0,50
308,62,62,12,25,5,15,25,3,464.0,103.0,1030.0,100
309,62,62,12,25,5,15,25,3,13.0,81.0,1725.0,150
310,62,62,12,25,5,15,25,4,69.0,215.0,971.0,50
311,62,62,12,25,5,15,25,4,550.0,26.0,1482.0,100
312,62,62,12,25,5,15,25,4,3.0,111.0,1643.0,150
313,62,62,12,25,5,15,25,5,88.0,184.0,1075.0,50
314,62,62,12,25,5,15,25,5,546.0,53.0,1275.0,100
315,62,62,12,25,5,15,25,5,1.0,85.0,1737.0,150
316,62,62,12,25,5,15,25,6,56.0,150.0,1261.0,50
317,62,62,12,25,5,15,25,6,518.0,93.0,1116.0,100
318,62,62,12,25,5,15,25,6,10.0,106.0,1584.0,150
319,62,62,12,25,5,15,25,7,41.0,246.0,929.0,50
320,62,62,12,25,5,15,25,7,617.0,17.0,1529.0,100
321,62,62,12,25,5,15,25,7,1.0,28.0,2353.0,150
322,62,62,12,25,5,15,25,8,107.0,179.0,1116.0,50
323,62,62,12,25,5,15,25,8,270.0,39.0,1620.0,100
324,62,62,12,25,5,15,25,8,4.0,106.0,1555.0,150
325,62,62,12,25,5,15,25,9,58.0,162.0,1205.0,50
326,62,62,12,25,5,15,25,9,547.0,58.0,1239.0,100
327,62,62,12,25,5,15,25,9,4.0,30.0,2282.0,150
328,62,62,12,25,5,15,25,10,49.0,172.0,1202.0,50
329,62,62,12,25,5,15,25,10,527.0,68.0,1198.0,100
330,62,62,12,25,5,15,25,10,9.0,66.0,1864.0,150
331,62,62,12,25,5,15,25,11,75.0,171.0,1134.0,50
332,62,62,12,25,5,15,25,11,432.0,43.0,1412.0,100
333,62,62,12,25,5,15,25,11,11.0,100.0,1725.0,150
334,62,62,12,25,5,15,25,12,68.0,153.0,1286.0,50
335,62,62,12,25,5,15,25,12,456.0,75.0,1188.0,100
336,62,62,12,25,5,15,25,12,4.0,54.0,2030.0,150
337,62,62,12,25,5,15,25,13,92.0,174.0,1105.0,50
338,62,62,12,25,5,15,25,13,264.0,62.0,1566.0,100
339,62,62,12,25,5,15,25,13,17.0,116.0,1473.0,150
340,62,62,12,25,5,15,25,14,71.0,134.0,1251.0,50
341,62,62,12,25,5,15,25,14,531.0,103.0,999.0,100
342,62,62,12,25,5,15,25,14,6.0,21.0,2336.0,150
343,62,62,12,25,5,15,25,15,97.0,229.0,942.0,50
344,62,62,12,25,5,15,25,15,161.0,24.0,2005.0,100
345,62,62,12,25,5,15,25,15,0.0,228.0,1063.0,150
346,62,62,12,25,5,15,25,16,35.0,212.0,1081.0,50
347,62,62,12,25,5,15,25,16,571.0,36.0,1416.0,100
