,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,run,mean_wolves,mean_sheep,mean_grass,wolves,sheep,grass
735,62,62,38,72,5,15,25,2,11.0,11.0,2343.5,22.0,21.0,2306.0
736,62,62,38,72,5,15,25,3,18.666666666666668,18.666666666666668,2328.5,45.0,26.0,2261.0
737,62,62,38,72,5,15,25,4,7.666666666666667,7.666666666666667,2302.75,1.0,38.0,2158.0
738,62,62,38,72,5,15,25,5,9.266666666666667,9.266666666666667,2323.75,9.0,25.0,2263.0
739,62,62,38,72,5,15,25,6,11.766666666666666,11.766666666666666,2208.4166666666665,24.0,124.0,1571.0
740,62,62,38,72,5,15,25,7,12.623809523809525,12.623809523809525,2225.416666666667,30.0,99.0,1690.0
741,62,62,38,72,5,15,25,8,8.873809523809523,8.873809523809523,2310.791666666667,0.0,17.0,2373.0
742,62,62,38,72,5,15,25,9,9.207142857142857,9.207142857142857,2328.902777777778,3.0,4.0,2536.0
743,62,62,38,72,5,15,25,10,11.907142857142857,11.907142857142857,2296.302777777778,30.0,33.0,2210.0
744,62,62,38,72,5,15,25,11,10.634415584415585,10.634415584415585,2273.575505050505,16.0,59.0,1960.0
745,62,62,38,72,5,15,25,12,9.967748917748919,9.967748917748919,2292.575505050505,8.0,37.0,2188.0
746,62,62,38,72,5,15,25,13,10.736979686979689,10.736979686979689,2303.1139665889664,18.0,19.0,2325.0
747,62,62,38,72,5,15,25,14,11.736979686979689,11.736979686979689,2282.9711094461095,32.0,40.0,2043.0
748,62,62,38,72,5,15,25,15,15.403646353646355,15.403646353646355,2261.837776112776,87.0,70.0,1726.0
749,62,62,38,72,5,15,25,16,10.216146353646355,10.216146353646355,2262.087776112776,4.0,94.0,1730.0
750,62,62,38,72,5,15,25,17,10.51026400070518,10.51026400070518,2280.4995408186583,9.0,44.0,2043.0
751,62,62,38,72,5,15,25,18,10.51026400070518,10.51026400070518,2296.9439852631026,9.0,16.0,2339.0
752,62,62,38,72,5,15,72,1,2.0,12.0,2252.0,2.0,12.0,2252.0
753,62,62,38,72,5,15,72,2,22.0,22.0,1953.0,42.0,51.0,1654.0
754,62,62,38,72,5,15,72,3,20.333333333333332,20.333333333333332,1951.0,37.0,44.0,1648.0
755,62,62,38,72,5,15,72,4,14.083333333333332,14.083333333333332,2040.25,12.0,26.0,2005.0
756,62,62,38,72,5,15,72,5,11.683333333333332,11.683333333333332,2110.85,0.0,0.0,2358.0
757,62,62,38,72,5,15,72,6,17.683333333333334,17.683333333333334,2009.1833333333334,36.0,60.0,1748.0
758,62,62,38,72,5,15,72,7,13.397619047619047,13.397619047619047,2043.3261904761905,6.0,24.0,1987.0
759,62,62,38,72,5,15,72,8,12.647619047619047,12.647619047619047,2096.5761904761903,0.0,9.0,2413.0
760,62,62,38,72,5,15,72,9,16.98095238095238,16.98095238095238,1964.1317460317462,39.0,109.0,1221.0
761,62,62,38,72,5,15,72,10,13.88095238095238,13.88095238095238,2060.2317460317463,8.0,8.0,2182.0
762,62,62,38,72,5,15,72,11,13.153679653679653,13.153679653679653,2053.2317460317463,0.0,30.0,2105.0
763,62,62,38,72,5,15,72,12,18.57034632034632,18.57034632034632,2013.6484126984133,65.0,51.0,1630.0
764,62,62,38,72,5,15,72,13,13.570346320346319,13.570346320346319,2064.725335775336,0.0,8.0,2294.0
765,62,62,38,72,5,15,72,14,14.284632034632034,14.284632034632034,2055.7967643467646,10.0,15.0,2169.0
766,62,62,38,72,5,15,72,15,14.9512987012987,14.9512987012987,2024.3300976800979,20.0,58.0,1697.0
767,62,62,38,72,5,15,72,16,13.7012987012987,13.7012987012987,2039.0800976800979,0.0,48.0,1933.0
768,62,62,38,72,5,15,72,17,19.28953399541635,19.28953399541635,2019.0800976800979,95.0,41.0,1593.0
769,62,62,38,72,5,15,72,18,14.3450895509719,14.3450895509719,2046.9689865689866,6.0,18.0,2095.0
770,62,62,38,72,5,15,72,19,14.818773761498218,14.818773761498218,2033.8110918321445,15.0,36.0,1845.0
771,62,62,38,72,5,15,72,20,14.718773761498218,14.718773761498218,2046.0110918321448,13.0,32.0,2089.0
772,62,62,38,72,15,5,25,1,3600.0,0.0,2371.0,3600.0,0.0,2371.0
773,62,62,38,72,15,5,25,2,3816.0,3816.0,2475.5,4032.0,0.0,2580.0
774,62,62,38,72,15,5,25,3,3793.6666666666665,3793.6666666666665,2482.1666666666665,3965.0,0.0,2600.0
775,62,62,38,72,15,5,25,4,3843.9166666666665,3843.9166666666665,2475.9166666666665,4166.0,0.0,2575.0
776,62,62,38,72,15,5,25,5,3860.9166666666665,3860.9166666666665,2478.1166666666663,4251.0,0.0,2586.0
777,62,62,38,72,15,5,25,6,3865.0833333333335,3865.0833333333335,2477.4500000000003,4276.0,0.0,2582.0
778,62,62,38,72,15,5,25,7,3824.5119047619046,3824.5119047619046,2477.0214285714287,3992.0,0.0,2579.0
779,62,62,38,72,15,5,25,8,3842.3869047619046,3842.3869047619046,2475.6464285714287,4135.0,0.0,2568.0
780,62,62,38,72,15,5,25,9,3818.9424603174607,3818.9424603174607,2475.868650793651,3924.0,0.0,2570.0
781,62,62,38,72,15,5,25,10,3824.14246031746,3824.14246031746,2478.0686507936507,3976.0,0.0,2592.0
782,62,62,38,72,15,5,25,11,3827.8697330447326,3827.8697330447326,2474.9777417027417,4017.0,0.0,2558.0
783,62,62,38,72,15,5,25,12,3824.7863997113996,3824.7863997113996,2476.811075036075,3980.0,0.0,2580.0
784,62,62,38,72,15,5,25,13,3828.8633227883224,3828.8633227883224,2477.8110750360747,4033.0,0.0,2593.0
785,62,62,38,72,15,5,25,14,3814.291894216894,3814.291894216894,2477.2396464646467,3829.0,0.0,2585.0
786,62,62,38,72,15,5,25,15,3822.6918942168936,3822.6918942168936,2477.7729797979796,3955.0,0.0,2593.0
787,62,62,38,72,15,5,25,16,3802.1293942168936,3802.1293942168936,2478.0229797979796,3626.0,0.0,2597.0
