,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth,runs,CV_sheep,CV_wolves,CV_grass
377,62,188,38,72,15,15,25,20,0.41688216971408376,0.3526192727210023,2.5720036449811134
378,62,188,38,72,15,15,72,3,0.0,0.0,6.862387365247188
379,62,188,38,72,15,15,72,5,0.41759189893378584,0.3895340279295739,2.197755421772637
380,62,188,38,72,15,15,72,7,0.5222527935140173,0.5000123621004822,1.9405765561662691
381,62,188,38,72,15,15,72,10,0.5096097196463083,0.44212016460476017,1.9774688535748817
382,62,188,38,72,15,15,72,15,0.48689071778622917,0.4033302732980821,2.14212809767633
383,62,188,38,72,15,15,72,20,0.41011566985082776,0.34576788323641033,2.5090772509989416
384,188,62,12,25,5,5,25,3,1.6092496302918025,6.002768500498983,13.829132411066617
385,188,62,12,25,5,5,25,5,1.4926197858699615,3.5200395151201547,16.3100954738692
386,188,62,12,25,5,5,25,7,1.6155246329534436,3.605653134795438,19.889678986205034
387,188,62,12,25,5,5,25,10,1.6845871705014412,3.657270566974731,21.209042722631935
388,188,62,12,25,5,5,25,15,1.69913243012318,4.220975459742691,20.173986268879187
389,188,62,12,25,5,5,25,20,1.7861745566144063,4.312943338430312,19.470336295528387
390,188,62,12,25,5,5,72,3,3.165509421522942,3.7985167672905487,18.85051346502969
391,188,62,12,25,5,5,72,5,2.953465477622287,5.206353254826157,14.017678535643183
392,188,62,12,25,5,5,72,7,2.8249539642420514,4.484422171036507,13.609076440000498
393,188,62,12,25,5,5,72,10,2.627426647219072,5.116654394273185,12.383760712066106
394,188,62,12,25,5,5,72,15,2.8057978648134054,5.01046910188333,12.870604896974015
395,188,62,12,25,5,5,72,20,2.6369969206242727,4.836727238302361,13.226268121909856
396,188,62,12,25,5,15,25,3,4.515214385524079,1.5218492514815352,5.267697957713809
397,188,62,12,25,5,15,25,5,2.2771004545663946,0.8412453425476338,3.7837392439243605
398,188,62,12,25,5,15,25,7,2.7893777828468815,0.8709279285131317,4.517382264067654
399,188,62,12,25,5,15,25,10,2.866133608081749,0.9023193703409291,4.773553460531468
400,188,62,12,25,5,15,25,15,3.177836279923288,0.9028657071954248,5.469666025520525
401,188,62,12,25,5,15,25,20,2.9288540039629942,0.9331648407636948,5.167204724135445
402,188,62,12,25,5,15,72,3,6.642857142857143,6.80336051416609,16.19489056045579
403,188,62,12,25,5,15,72,5,3.054558559945305,1.1749033274867853,3.6592338318377595
404,188,62,12,25,5,15,72,7,3.588349120267652,1.2755656409281846,4.274329175091059
405,188,62,12,25,5,15,72,10,3.824967695085811,1.0784668704812517,4.539733174437269
406,188,62,12,25,5,15,72,15,3.7108499764527894,1.0865328103140774,4.535858787358769
407,188,62,12,25,5,15,72,20,3.078874846433119,1.0240332348013417,4.200122692903194
408,188,62,12,25,15,5,25,3,0.0,7.051562709486656,242.98444691263975
409,188,62,12,25,15,5,25,5,0.0,6.760547661101467,92.25597996746475
410,188,62,12,25,15,5,25,7,0.0,7.381746654896475,100.17678478747663
411,188,62,12,25,15,5,25,10,0.0,7.9742435034831205,72.83828857006685
412,188,62,12,25,15,5,25,15,0.15811388300841897,6.809956671820665,73.33605538648044
413,188,62,12,25,15,5,25,20,0.1841413749731752,6.764284360584032,75.97206080199757
414,188,62,12,25,15,5,72,3,1.253038053948373,2.5669507850161777,6.65888148045288
415,188,62,12,25,15,5,72,5,1.0362962676389749,2.70387708736887,7.860785677305081
416,188,62,12,25,15,5,72,7,1.3078749054104097,3.3944622979013133,6.774808313355799
417,188,62,12,25,15,5,72,10,1.4947060491338884,3.5302520998586973,6.802212444967848
418,188,62,12,25,15,5,72,15,1.6109745123946113,3.339954371686362,6.477721065615538
419,188,62,12,25,15,5,72,20,1.5214543084940702,2.9907216319598984,5.503137283055282
420,188,62,12,25,15,15,25,3,0.5773502691896258,0.5773502691896256,2.14474287309838
421,188,62,12,25,15,15,25,5,0.3535533905932738,0.3535533905932738,4.09160609669666
