density,directions,combination_number,ticks,burn_percentage,time_label,burn_percentage_noise,ticks_noise,mean_burn,mean_burn_noise,sd_burn,sd_burn_noise,trend_burn,trend_burn_noise,total_ticks,sample_size,sample_method,summarise_runs,datapoints,run
90,8,180,263,100,end,94.56576165511888,271,52.64737439669881,52.81726676249483,30.212625916061715,29.989106108913717,0.40009388596371886,0.3926013773763574,263,198,full,summarised,endpoints,NA
91,4,181,287,99.98595382319375,end,98.91507257346169,277,54.01811548007918,53.85423874156279,30.829246652793543,31.32368893559778,0.37785285450170447,0.3754540946455658,287,198,full,summarised,endpoints,NA
91,8,182,263,100,end,96.24404924172653,263,52.64532368885914,52.85470600399896,30.209984018787413,30.185434772386568,0.4001024748865493,0.39628795751059365,263,198,full,summarised,endpoints,NA
92,4,183,281,100,end,100.65192998843034,274,53.29107258121908,53.22613486815611,30.543769435181737,30.477838178387973,0.38028288756115924,0.3728398939597084,281,198,full,summarised,endpoints,NA
92,8,184,262,100,end,97.66496006759837,266,52.49597584995929,52.68583987919775,30.117840026858836,30.07729082257711,0.40000335039620977,0.39650455495725,262,198,full,summarised,endpoints,NA
93,4,185,282,100,end,98.68566846306278,283,53.829203284016444,53.62686301172583,30.771397258857085,30.938549667427708,0.38335620951687854,0.37811734034533734,282,198,full,summarised,endpoints,NA
93,8,186,263,100,end,97.26094612406833,258,52.65631222014483,52.41590760757116,30.197206861439174,29.960482029005636,0.39989824626945214,0.3926321980440597,263,198,full,summarised,endpoints,NA
94,4,187,277,100,end,100.83794034793785,268,53.27638965418124,53.17618760570935,30.51830073700618,30.32942262473948,0.3853539029481281,0.37697625484584374,277,198,full,summarised,endpoints,NA
94,8,188,263,100,end,96.39058172156822,263,52.644862004966484,52.47865936110897,30.198733377166263,30.243888788849176,0.3999100451949495,0.3966480240895282,263,198,full,summarised,endpoints,NA
95,4,189,276,99.99832200687976,end,102.75865095929701,273,53.3957697811431,53.22835568718453,30.591247918545246,30.675518276677032,0.38797431079879807,0.3814878642229001,276,198,full,summarised,endpoints,NA
95,8,190,262,100,end,106.20121415173546,261,52.46834133397117,52.48274704180382,30.118446319943775,30.589989531225807,0.40001437210860824,0.4012351585446425,262,198,full,summarised,endpoints,NA
96,4,191,273,99.99916991782186,end,96.58926833275764,277,53.18087124620827,53.0815529181037,30.469080669089166,30.83050004667041,0.39005246914750763,0.3889594170050865,273,198,full,summarised,endpoints,NA
96,8,192,262,100,end,99.0862258249972,258,52.470179176384534,52.484428657962745,30.119191106328568,30.681482700011973,0.4000181403000873,0.4022206004851889,262,198,full,summarised,endpoints,NA
97,4,193,271,100,end,100.80381155257365,261,53.15236195700736,53.365132792825975,30.452963529639536,30.625158684686024,0.39267714728651404,0.3894487762919106,271,198,full,summarised,endpoints,NA
97,8,194,262,100,end,104.72320964275332,270,52.496324804162754,52.48848709484195,30.11351206905644,30.20061056580318,0.39996135723834575,0.3971220201572117,262,198,full,summarised,endpoints,NA
98,4,195,270,100,end,104.9028828185574,263,53.24243659383688,53.2050967834154,30.488233443737474,30.605563511327425,0.3948161842716866,0.3903507140308516,270,198,full,summarised,endpoints,NA
98,8,196,262,100,end,98.01616356559553,271,52.49343497675959,52.49239358558026,30.11431740863873,30.18735925679818,0.3999610343519055,0.3962652359814843,262,198,full,summarised,endpoints,NA
99,4,197,267,100,end,99.32904691782198,270,53.02471427705126,52.96573657918323,30.378247680706995,30.41346716206221,0.3971867414319236,0.3923465499376836,267,198,full,summarised,endpoints,NA
99,8,198,262,100,end,95.73737019393198,266,52.48174623540635,52.70306049899871,30.114117482278303,30.377501001565026,0.39995446675496177,0.39948244106358555,262,198,full,summarised,endpoints,NA
1,4,1,7,0.3236245954692557,middle,0.35351244932918907,4,0.3236245954692557,0.32820784908271006,0,0.027405471526184007,0,-6.126744895127816e-4,13,198,full,full,timesteps,0
1,4,1,13,0.3236245954692557,end,0.34451433194512115,10,0.3236245954692557,0.32820784908271006,0,0.027405471526184007,0,-6.126744895127816e-4,13,198,full,full,timesteps,0
1,4,1,7,0.46511627906976744,middle,0.4677981694483891,15,0.46511627906976744,0.47080638160711863,0,0.025342571454410434,0,2.836940804463173e-4,13,198,full,full,timesteps,1
1,4,1,13,0.46511627906976744,end,0.48532064475069303,21,0.46511627906976744,0.47080638160711863,0,0.025342571454410434,0,2.836940804463173e-4,13,198,full,full,timesteps,1
1,4,1,7,0.16666666666666669,middle,0.17944574620306467,-1,0.16666666666666669,0.17088031256195507,0,0.01247360285914297,0,7.450135349948693e-4,13,198,full,full,timesteps,2
1,4,1,13,0.16666666666666669,end,0.1795851239497196,5,0.16666666666666669,0.17088031256195507,0,0.01247360285914297,0,7.450135349948693e-4,13,198,full,full,timesteps,2
1,4,1,7,0.16583747927031509,middle,0.15924506466586458,-3,0.16583747927031509,0.1630041729897215,0,0.007354813450877569,0,8.52718727876911e-4,13,198,full,full,timesteps,3
1,4,1,13,0.16583747927031509,end,0.15755560645387737,3,0.16583747927031509,0.1630041729897215,0,0.007354813450877569,0,8.52718727876911e-4,13,198,full,full,timesteps,3
1,4,1,7,0.16129032258064516,middle,0.15673547162891535,5,0.16129032258064516,0.16184850999231468,0,0.0114701190141906,0,-8.260601302073252e-4,13,198,full,full,timesteps,4
